B003AI2VGA, A141HP4LYPWMSR, 7/7, 3.0, 1182729600
B003AI2VGA, A328S9RN3U5M68, 4/4, 3.0, 1181952000
B003AI2VGA, A1I7QGUDP043DG, 8/10, 5.0, 1164844800
B003AI2VGA, A1M5405JH9THP9, 1/1, 3.0, 1197158400
B003AI2VGA, ATXL536YX71TR, 1/1, 3.0, 1188345600
B003AI2VGA, A3QYDL5CDNYN66, 0/0, 2.0, 1229040000
B003AI2VGA, AQJVNDW6YZFQS, 3/11, 1.0, 1164153600
B00006HAXW, AD4CDZK7D31XP, 64/65, 5.0, 1060473600
B00006HAXW, A3Q4S5DFVPB70D, 26/26, 5.0, 1041292800
B00006HAXW, A2P7UB02HAVEPB, 24/24, 5.0, 1061164800
B00006HAXW, A2TX99AZKDK0V7, 22/23, 4.0, 1039564800
B00006HAXW, AFC8IKR407HSK, 14/14, 5.0, 1045526400
B00006HAXW, A1FRPGQYQTAOR1, 9/9, 5.0, 1062979200
B00006HAXW, A1RSDE90N6RSZF, 9/9, 5.0, 1042502400
B00006HAXW, A1OUBOGB5970AO, 7/7, 4.0, 1049846400
B00006HAXW, A3NPHQVIY59Y0Y, 7/7, 5.0, 1047945600
B00006HAXW, AFKMBAY28XO8A, 7/7, 5.0, 1038787200
B00006HAXW, A66KMXH9V7OGU, 4/4, 5.0, 1177804800
B00006HAXW, AFJ27ZV9183B8, 3/3, 5.0, 1200096000
B00006HAXW, AXMKAXC0TR9AW, 5/6, 5.0, 1082592000
B00004CQT3, A34KFDQ5KBHZA5, 18/19, 5.0, 1070064000
B00004CQT3, A1CIW2OEVAJRM2, 14/15, 5.0, 1092441600
B00004CQT3, A1VJCDRXUQVXBM, 10/11, 5.0, 964915200
B00004CQT3, A2IMLPUXYQJTSY, 7/7, 5.0, 1146960000
B00004CQT3, A1D12NAC1U12F0, 4/4, 5.0, 1154304000
B00004CQT3, A3RVH9HUN9J4LZ, 1/1, 5.0, 1248825600
B00004CQT3, AH7ZNGM8WOOGN, 1/1, 5.0, 1179792000
B00004CQT3, A2582KMXLK2P06, 0/0, 3.0, 1323043200
B00004CQT3, A1J50B4K22D93F, 0/0, 5.0, 1314748800
B00004CQT3, A2DLKD4AC5JV5Q, 0/0, 4.0, 1312156800
